sentence,aspect_term,category,opinion_term,polarity,implicitness
"the hot dogs are good , yes , but the reason to get over here is the fantastic pork croquette sandwich , perfect on its supermarket squishy bun .",hot dogs are,quality,"good ,",positive,EAEO
"the hot dogs are good , yes , but the reason to get over here is the fantastic pork croquette sandwich , perfect on its supermarket squishy bun .","pork croquette sandwich ,",quality,fantastic pork,positive,EAEO
"the hot dogs are good , yes , but the reason to get over here is the fantastic pork croquette sandwich , perfect on its supermarket squishy bun .",bun .,quality,perfect on,positive,EAEO
restaurant with a view,view,general,implicit,neutral,EAIO
the food tasted very good .,food tasted,quality,good .,positive,EAEO
the main entree was also very good .,main entree was,quality,good .,positive,EAEO
"price is high but the food is good , so i would come back again .",food is,quality,"good ,",positive,EAEO
"price is high but the food is good , so i would come back again .",food is,price,high but,negative,EAEO
"price is high but the food is good , so i would come back again .",implicit,general,implicit,positive,IAIO
this place does n ' t make any sense,place does,general,implicit,negative,EAIO
just want to warn you all - do n ' t waste your time and money .,implicit,general,implicit,negative,IAIO
"this place has totally weird decor , stairs going up with mirrored walls - i am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional . . .","decor ,",general,weird decor,negative,EAEO
"this place has totally weird decor , stairs going up with mirrored walls - i am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional . . .",mirrored walls make,general,dizzy and,negative,EAEO
"this place has totally weird decor , stairs going up with mirrored walls - i am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional . . .",mirrored walls make,general,delusional .,negative,EAEO
this place is not inviting and the food is totally weird .,place is,general,not inviting and,negative,EAEO
this place is not inviting and the food is totally weird .,food is,quality,weird .,negative,EAEO
the concept of japanese tapas is newly created and clearly does n ' t work .,japanese tapas is,ambience,does n ' t work .,negative,EAEO
good food,food,quality,good food,positive,EAEO
"the food was great and tasty , but the sitting space was too small , i do n ' t like being cramp in a corner .",food was,quality,great and,positive,EAEO
"the food was great and tasty , but the sitting space was too small , i do n ' t like being cramp in a corner .",food was,quality,"tasty ,",positive,EAEO
"the food was great and tasty , but the sitting space was too small , i do n ' t like being cramp in a corner .",sitting space was,general,"too small ,",negative,EAEO
over all it was a very nice romantic place .,place .,general,nice romantic,positive,EAEO
over all it was a very nice romantic place .,place .,general,romantic place,positive,EAEO
loved it,implicit,general,loved it,positive,IAEO
a coworker and i tried pacifico after work a few fridays and loved it .,pacifico after,general,loved it,positive,EAEO
the atmosphere was great .,atmosphere was,general,great .,positive,EAEO
"the food we ordered was excellent , although i would n ' t say the margaritas were anything to write home about .",food we,quality,"excellent ,",positive,EAEO
"the food we ordered was excellent , although i would n ' t say the margaritas were anything to write home about .",margaritas were,quality,implicit,neutral,EAIO
"our waitress was n ' t mean , but not especially warm or attentive either .",waitress was,general,"n ' t mean ,",neutral,EAEO
"our waitress was n ' t mean , but not especially warm or attentive either .",waitress was,general,not especially warm or attentive either,neutral,EAEO
"i must say i am surprised by the bad reviews of the restaurant earlier in the year , though .",restaurant earlier,general,bad reviews,positive,EAEO
"regardless , we ' ll be back and ca n ' t wait to visit in the summer to take advantage of the patio .",patio .,general,implicit,positive,EAIO
"regardless , we ' ll be back and ca n ' t wait to visit in the summer to take advantage of the patio .",implicit,general,implicit,positive,IAIO
dumbfoundingly poor,implicit,general,poor,negative,IAEO
"this was , from start to finish , a mind - bogglingly uncomfortable experience .",implicit,general,uncomfortable experience,negative,IAEO
lexicographers take note : a new and fascinating definition of rudeness is alive and flourishing right here in brooklyn .,implicit,general,rudeness is,negative,IAEO
the servers at flatbush farm appear to have perfected that ghastly technique of making you feel guilty and ashamed for deigning to attract their attention .,servers at,general,perfected that,negative,EAEO
polite acknowledgement is out ;,implicit,general,implicit,negative,IAIO
"and how many times can you pick up the same perfectly aligned set of napkins , inspect them vapidly and plonk them down in exactly the same place instead of venturing a glance at people who are there to help you make the rent ?",implicit,general,implicit,negative,IAIO
"a different server enhanced the fun , dumping our entrees in front of us halfway through our appetizer ( which was delicious ) .",server enhanced,general,enhanced the,negative,EAEO
"a different server enhanced the fun , dumping our entrees in front of us halfway through our appetizer ( which was delicious ) .",appetizer (,quality,delicious ),positive,EAEO
"overall the food quality was pretty good , though i hear the salmon is much better when it has n ' t sat cooling in front of the guest .",food quality,quality,"good ,",positive,EAEO
"overall the food quality was pretty good , though i hear the salmon is much better when it has n ' t sat cooling in front of the guest .",implicit,general,implicit,negative,IAIO
"the place has a nice fit - out , some attractive furnishings and , from what i could tell , a reasonable wine list ( i was given the food menu when i asked for the carte des vins )","fit - out ,",general,nice fit,positive,EAEO
"the place has a nice fit - out , some attractive furnishings and , from what i could tell , a reasonable wine list ( i was given the food menu when i asked for the carte des vins )",furnishings and,general,attractive furnishings,positive,EAEO
"the place has a nice fit - out , some attractive furnishings and , from what i could tell , a reasonable wine list ( i was given the food menu when i asked for the carte des vins )",wine list (,ambience,reasonable wine,positive,EAEO
"the place has a nice fit - out , some attractive furnishings and , from what i could tell , a reasonable wine list ( i was given the food menu when i asked for the carte des vins )",implicit,general,implicit,negative,IAIO
"at $ 120 for two people , however , this in no way represents value , unless you ' re looking to pay by the hour for passive - aggressive torture .",implicit,price,implicit,negative,IAIO
